Language_Pair,Ancient_Language,Modern_Language,Language_Family,Temporal_Depth_Years,Lexical_Distance,WALS_Typological_Distance,Grambank_Typological_Distance,URIEL_Featural_Distance,Syntactic_Distance,Phonological_Distance,Cognate_Distance,Seven_Dimensional_Combined_Distance
Ancient Greek → Modern Greek,Ancient Greek,Modern Greek,Hellenic,2500,0.5717291967291968,0.26851851851851855,0.23711340206185566,0.1997,0.3229607810114936,0.5642857142857143,0.42352941176470593,0.3696910034816407
Gothic → German,Gothic,German,Germanic,1600,0.9172268907563026,0.22916666666666666,,0.3613,0.31997663068260157,0.6151455026455026,0.31707317073170727,0.4599814769137968
Latin → French,Latin,French,Romance,1500,0.6708029244975058,0.41346153846153844,0.3160621761658031,0.5184,0.39530046834997906,0.7802906408967015,0.3941176470588236,0.4983479136329073
Latin → Italian,Latin,Italian,Romance,1500,0.5782097577219528,0.38461538461538464,0.3036649214659686,0.346,0.465185301074425,0.6849404761904763,0.3647058823529412,0.44676024620302124
Latin → Romanian,Latin,Romanian,Romance,1500,0.8950248196248196,0.39805825242718446,,0.3743,0.3411716956202804,0.6849404761904763,0.4,0.5155825406437934
Latin → Spanish,Latin,Spanish,Romance,1500,0.6583180104919236,0.38461538461538464,,0.4508,0.35402776398622027,0.6893695249755855,0.3647058823529412,0.48363942773700924
Old Church Slavonic → Bulgarian,Old Church Slavonic,Bulgarian,Slavic,1000,0.6972440522440523,0.25842696629213485,,,0.3005757925815344,0.42590557590557593,0.20833333333333337,0.37809714407132616
Old Church Slavonic → Czech,Old Church Slavonic,Czech,Slavic,1000,0.6656208277703604,0.12359550561797752,,,0.20648978741244595,0.4476190476190477,0.14880952380952384,0.31842693844587106
Old Church Slavonic → Russian,Old Church Slavonic,Russian,Slavic,1000,0.8651859168190827,0.10112359550561797,,,0.2640017632522823,0.5834368117262855,0.24404761904761907,0.4115591412701775
Old Church Slavonic → Serbian,Old Church Slavonic,Serbian,Slavic,1000,0.874654761904762,0.07865168539325842,,,0.2587591715966493,0.4071225071225071,0.17261904761904767,0.3583614347272449
Sanskrit → Hindi,Sanskrit,Hindi,Indo-Aryan,1500,0.7878968253968254,0.26136363636363635,,0.4277,0.3646639694553965,0.7332621082621082,0.7125748502994012,0.5479102316295613
